id_pelicula,popularity,release_date,revenue,runtime,title,vote_average,vote_count,tags
77771,0.043903,1973-07-01,0.0,85.0,Touki Bouki,7.3,10.0,Drama Romance العربية Français Wolof StudioKankourama Cinegrit MagayeNiang AminataFall OusseynouDiop JosephineBaker ChristophColomb MustaphaTure NdouLabia DjibrilDiopMambéty
627,19.348466,1996-02-23,16491080.0,93.0,Trainspotting,7.8,2737.0,Drama Crime English MiramaxFilms ChannelFourFilms NoelGayMotionPictureCompany FigmentFilms Film4 EwanMcGregor EwenBremner JonnyLeeMiller RobertCarlyle KellyMacdonald KevinMcKidd PeterMullan JamesCosmo EileenNicholas SusanVidler PaulineLynch ShirleyHenderson StuartMcQuarrie KeithAllen KevinAllen IrvineWelsh EddieNestor AnnieLouiseRoss BillyRiddoch DaleWinton HughRoss VictorEadie KateDonnelly DannyBoyle
10061,12.229381,1996-08-09,42277365.0,97.0,Escape from L.A.,5.6,381.0,Action Adventure ScienceFiction Thriller English ParamountPictures RysherEntertainment KurtRussell StacyKeach SteveBuscemi PamGrier CliffRobertson GeorgesCorraface MichelleForbes ValeriaGolino A.J.Langer PeterFonda BruceCampbell LelandOrser JeffImada AlLeong JamesLew JulienCesario BreckinMeyer JohnCarpenter
238,41.109264,1972-03-14,245066411.0,175.0,The Godfather,8.5,6024.0,Drama Crime English Italiano Latin ParamountPictures AlfranProductions MarlonBrando AlPacino JamesCaan RichardS.Castellano RobertDuvall SterlingHayden JohnMarley RichardConte AlLettieri DianeKeaton AbeVigoda TaliaShire GianniRusso JohnCazale RudyBond AlMartino MorganaKing LennyMontana JohnMartino SalvatoreCorsitto AlexRocco TonyGiorgio VictorRendina SimonettaStefanelli SaroUrzì SofiaCoppola LouisGuss GabrieleTorrei TonyKing RichardBright VitoScotti TereLivrano JulieGregg AngeloInfanti CorradoGaipa FrancoCitti MaxBrandt CarmineCoppola RomanCoppola DonCostello RobertDahdah GrayFrederickson RonGilbert JoeLoGrippo SonnyGrosso RandyJurgensen TonyLip LouMartiniJr. RaymondMartino JosephMedaglia RickPetrucelli SalRichards TomRosqui FrankSivero FilomenaSpagnuolo JoeSpinell NickVallelonga ConradYama FrancisFordCoppola
11224,14.436858,1950-03-04,263591415.0,74.0,Cinderella,6.8,1760.0,Family Fantasy Animation Romance English RKORadioPictures WaltDisneyProductions IleneWoods EleanorAudley LucilleBliss VernaFelton HeleneStanley JamesMacDonald LuisvanRooten DonBarclay ClaireDuBrey RhodaWilliams MarionDarlington ClydeGeronimi WilfredJackson HamiltonLuske
10948,10.197106,1981-07-10,29800000.0,82.0,The Fox and the Hound,7.0,884.0,Adventure Animation Drama Family English WaltDisneyProductions MickeyRooney KurtRussell PearlBailey JackAlbertson SandyDuncan JeanetteNolan PatButtram JohnFiedler JohnMcIntire RichardBakalyan PaulWinchell KeithCoogan CoreyFeldman TedBerman ArtStevens RichardRich
11238,8.654244,1996-05-20,0.0,81.0,Aladdin and the King of Thieves,6.1,494.0,Adventure Animation Family English WaltDisneyTelevisionAnimation ScottWeinger LindaLarkin RobinWilliams JohnRhys-Davies GilbertGottfried JerryOrbach ValBettin FrankWelker JimCummings CCHPounder TadStones
88,14.044122,1987-08-21,213954274.0,100.0,Dirty Dancing,7.1,1371.0,Drama Music Romance English GreatAmericanFilmsLimitedPartnership VestronPictures JenniferGrey PatrickSwayze JerryOrbach CynthiaRhodes JackWeston JaneBrucker KellyBishop LonnyPrice MaxCantor Charles'Honi'Coles NealJones CousinBrucieMorrow WayneKnight PaulaTrueman AlvinMyerovich MirandaGarrison GarryGoodrow AntonePagan ThomasCannold HeatherLeaGerdes JesusFuentes M.R.Fletcher KarenGetz AndrewCharlesKoch D.A.Pauley JenniferStahl DorianSanchez EmileArdolino
402,16.628427,1992-03-20,352927224.0,127.0,Basic Instinct,6.5,869.0,Thriller Mystery English TriStarPictures Canal+ CarolcoPictures MichaelDouglas SharonStone GeorgeDzundza JeanneTripplehorn DenisArndt LeilaniSarelle BruceA.Young ChelcieRoss DorothyMalone WayneKnight DanielvonBargen StephenTobolowsky BenjaminMouton JackMcGee BillCable StephenRowe MitchPileggi MaryPatGleason FredaFohShen WilliamDuff-Griffin JamesRebhorn DavidWells MaryAnnRodgers AdilahBarnes IreneOlgaLópez JuanitaJennings CraigC.Lewis MichaelDavidLally PeterAppel MichaelHalton KeithMcDaniel EricPoppick RonCacas KaylaBlake BradfordEnglish PaulVerhoeven
1103,10.124544,1981-05-22,50244700.0,99.0,Escape from New York,6.9,720.0,"ScienceFiction Action English AVCOEmbassyPictures GoldcrestFilmsInternational InternationalFilmInvestors CityFilm KurtRussell LeeVanCleef ErnestBorgnine DonaldPleasence IsaacHayes HarryDeanStanton AdrienneBarbeau TomAtkins FrankDoubleday JohnStrobel SeasonHubley CharlesCyphers JohnCothran,Jr. GeorgeBuckFlower JohnCarpenter"
531,7.771233,1993-12-17,0.0,30.0,The Wrong Trousers,7.6,266.0,Animation Comedy Family English AardmanAnimations PeterSallis NickPark
1891,19.470959,1980-05-17,538400000.0,124.0,The Empire Strikes Back,8.2,5998.0,Adventure Action ScienceFiction English Lucasfilm TwentiethCenturyFoxFilmCorporation MarkHamill HarrisonFord CarrieFisher BillyDeeWilliams AnthonyDaniels DavidProwse KennyBaker PeterMayhew FrankOz JamesEarlJones KathrynMullen WendyFroud JeremyBulloch JasonWingreen TemueraMorrison CliveRevill MarjorieEaton IanMcDiarmid AlecGuinness JohnHollis JackPurvis DesWebb JulianGlover KennethColley JohnRatzenberger MichaelSheard MichaelCulver JohnDicks MiltonJohns MarkJones OliverMaguire RobinScobey BruceBoa ChristopherMalcolm DenisLawson IanListon JohnMorton RichardOldfield JackMcKenzie JerryHarte NormanChancer NorwichDuff RayHassett BrigitteKahn BurnellTucker BobAnderson LightningBear RichardBonehill JohnCannon MarkCapri MartinDew PeterDiamond StuartFell DougRobinson TonySmart AlanHarris TiffanyL.Kurtz MacMcDonald RalphMcQuarrie RalphMorse TerryRichards MichaelSantiago TreatWilliams ShaunCurry AlanAusten JimDowdall IanDurrant TomEgeland AlanFlyng ChrisParsons TrevorButterfield ChristopherBunn QuentinPierre KeithSwaden HowieWeed MorrisBush IrvinKershner
85,19.901576,1981-06-12,389925971.0,115.0,Raiders of the Lost Ark,7.7,3949.0,Adventure Action English Español Deutsch עִבְרִית العربية  Lucasfilm ParamountPictures HarrisonFord KarenAllen PaulFreeman RonaldLacey JohnRhys-Davies DenholmElliott WolfKahler AnthonyHiggins VicTablian DonFellows WilliamHootkins AlfredMolina EddieTagoe GeorgeHarris BillReimbold FredSorenson PatrickDurkin MatthewScurfield MalcolmWeaver SonnyCaldinez AnthonyChinn PatRoach ChristopherFrederick TutteLemkow IshaqBux KiranShah SouadMessaoudi TerryRichards SteveHanson FrankMarshall MartinKreidt JohnRees TonyVogel TedGrossman VicArmstrong PeterDiamond NickGillard RomoGorrara RickLester RockyTaylor RegHarding HarryFielder BarrieHolland BillyHorrigan TerryLeonard SergioMioni DennisMuren GlennRandallJr. MichaelSheard FrankWelker StevenSpielberg
429,16.788787,1966-12-23,6000000.0,161.0,"The Good, the Bad and the Ugly",8.1,2371.0,Western Italiano UnitedArtists ConstantinFilmProduktion ProduzioniEuropeeAssociati(PEA) ArturoGonzálezProduccionesCinematográficasS.A. EliWallach ClintEastwood LeeVanCleef AldoGiuffrè LuigiPistilli RadaRassimov JohnBartha LivioLorenzon AntonioCasale AngeloNovi JoséTerrón EnzoPetito ClaudioScarchilli SandroScarchilli BenitoStefanelli AntonioCasas AldoSambrell AlMulock SergioMendizábal AntonioMolinoRojo LorenzoRobledo MarioBrega CheloAlonso FortunatoArena RománAriznavarreta SilvanaBacci FrankBraña AmerigoCastrighella SaturnoCerra LuigiCiavarro RomanoPuppo TonyDiMitri AttilioDottesio VerianoGinesi JesúsGuzmán VíctorIsrael NazzarenoNatale RicardoPalacios AntoñitoRuiz AysanoaRunachagua PhilipEttington SergioLeone
1892,14.586087,1983-05-23,572700000.0,135.0,Return of the Jedi,7.9,4763.0,Adventure Action ScienceFiction English Lucasfilm TwentiethCenturyFoxFilmCorporation MarkHamill HarrisonFord CarrieFisher BillyDeeWilliams AnthonyDaniels DavidProwse KennyBaker PeterMayhew FrankOz IanMcDiarmid JamesEarlJones SebastianShaw AlecGuinness WarwickDavis CarolineBlakiston MichaelPennington KennethColley MichaelCarter DenisLawson TimRose DermotCrowley JeremyBulloch FemiTaylor AnnieArbogast ClaireDavenport JackPurvis MikeEdmonds JaneBusby MalcolmDixon MikeCottrell NickiReade AdamBareham JonathanOliver PipMiller TomMannion MargoApostolos RayArmstrong EileenBaker MichaelHenburyBallan BobbyBell PattyBell AlanBennett SarahBennett PamelaBetts DannyBlackner LindaBowley PeterBurroughs DebbieLeeCarrington MaureenCharlton WillieCoppen SadieCorre TonyCox JohnCumming JeanD'Agostino LuisDeJesus DebbieDixon MargaritaFernández PhilFondacaro SalFondacaro TonyFriel DanielFrishman JohnGhavan MichaelGilden PaulGrant LydiaGreen LarsGreen PamGrizz AndrewHerd J.J.Jackson RichardJones TrevorJones GlynnJones KarenLay JohnLummiss NancyMacLean PeterMandell CaroleMorris StacieNichols ChrisNunn BarbaraO'Laughlin BrianOrenstein HarrellParkerJr. JohnPedrick AprilPerkins RonniePhillips KatiePurvis CarolRead NicholasRead DianaReynolds DanielleRodgers ChrisRomano DeanShackelford KiranShah FelixSilla LindaSpriggs GeraldStaddon JosephineStaddon KevinThompson KendraWall BrianWheeler ButchWilhelm DalynChew CeliaFushille-Burke MercedesNgoh JenniferJaffe MarkDodson SimonJ.Williamson RichardBonehill DavidGonzales BarrieHolland PeterRoy ErikBauersfeld MikeQuinn BillKipsangRotich DeepRoy AlisaBerk HughSpight SweeLim RichardRobinson GeraldHome PhilHerbert TimDry SeanCrawford PhilTippett MichaelMcCormick TobyPhilpott DavidAlanBarclay LarryWard RichardMarquand
348,23.37742,1979-05-25,104931801.0,117.0,Alien,7.9,4564.0,Horror Action Thriller ScienceFiction English Español TwentiethCenturyFoxFilmCorporation BrandywineProductions TomSkerritt SigourneyWeaver VeronicaCartwright HarryDeanStanton JohnHurt IanHolm YaphetKotto BolajiBadejo HelenHorton EddiePowell RidleyScott
218,19.293562,1984-10-26,78371200.0,108.0,The Terminator,7.4,4208.0,Action Thriller ScienceFiction English OrionPictures PacificWestern HemdaleFilm Cinema84 EuroFilmFunding ArnoldSchwarzenegger MichaelBiehn LindaHamilton PaulWinfield LanceHenriksen BessMotta EarlBoen RickRossovich BillPaxton BrianThompson FrancoColumbu DickMiller JoeFarago ShawnSchepps BruceM.Kerner BradRearden WilliamWisherJr. KenFritz HettieLynneHurtes PhilipGordon StanYale LeslieMorris HughFarrington HarrietMedin JamesRalston WayneStone JohnE.Bristol PatrickPinney GregRobbins MarianneMuellerleile MarianGreen J.RandolphHarrison DarrellMapson JamesCameron
105,25.778509,1985-07-03,381109762.0,116.0,Back to the Future,8.0,6239.0,"Adventure Comedy ScienceFiction Family English UniversalPictures AmblinEntertainment U-DriveProductions MichaelJ.Fox ChristopherLloyd LeaThompson CrispinGlover ThomasF.Wilson ClaudiaWells MarcMcClure WendieJoSperber GeorgeDiCenzo FrancesLeeMcCain JamesTolkan HarryWaters,Jr. BillyZane J.J.Cohen CaseySiemaszko DonaldFullilove LisaFreeman CristenKauffman ElsaRaven WillHare IvyBethune JasonMarin KatherineBritton JasonHervey MaiaBrewton CourtneyGains RichardL.Duran JeffO'Haco JohnnyGreen JamieAbbott NormanAlden ReadMorgan SachiParker RobertKrantz GaryRiley KarenPetrasek GeorgeBuckFlower TommyThomas Granville'Danny'Young DavidHaroldBrown LloydL.Tolbert PaulHanson LeeBrownfield RobertDeLapp WalterScott CharlesL.Campbell DeborahHarmon JanineKing HueyLewis TomTangen ArthurTovey RobertZemeckis"
756,8.03796,1940-11-13,83320000.0,124.0,Fantasia,7.2,831.0,Animation Family Music English WaltDisneyPictures DeemsTaylor WaltDisney JuliettaNovis LeopoldStokowski SamuelArmstrong JamesAlgar WilliamRoberts PaulSatterfield HamiltonLuske JimHandley FordBeebe T.Hee WilfredJackson BenSharpsteen NormanFerguson DavidHand
89,14.788987,1989-05-24,474171806.0,127.0,Indiana Jones and the Last Crusade,7.6,3221.0,Adventure Action Deutsch ελληνικά English Lucasfilm ParamountPictures HarrisonFord SeanConnery DenholmElliott AlisonDoody JohnRhys-Davies JulianGlover RiverPhoenix MichaelByrne KevorkMalikyan RobertEddison RichardYoung AlexeiSayle PaulMaxwell IslaBlair VernonDobtcheff AlexHyde-White J.J.Hardy BradleyGregg JeffO'Haco VinceDeadrickSr. MarcMiles TedGrossman TimHiser LarrySanders WillMiles DavidMurray JerryHarte BillyJ.Mitchell MartinGordon PaulHumpoletz TomBranch GraemeCrowther LukeHanson ChrisJenkinson NicolaScott LouisSheldon StefanKalipha PeterPacey PatRoach SuzanneRoquette EugeneLipinski GeorgeMalpas JulieEccles NinaArmstrong RonaldLacey NickGillard DerekLyons LeeRichards MichaelSheard TipTipping FrederickJaeger StevenSpielberg
199,8.808497,1996-11-21,150000000.0,111.0,Star Trek: First Contact,7.0,671.0,ScienceFiction Action Adventure Thriller English ParamountPictures DigitalImageAssociates PatrickStewart JonathanFrakes BrentSpiner LeVarBurton MichaelDorn GatesMcFadden MarinaSirtis JamesCromwell AlfreWoodard AliceKrige NealMcDonough DwightSchultz CameronOppenheimer RobertPicardo JonathanFrakes
578,19.726114,1975-06-18,470654000.0,124.0,Jaws,7.5,2628.0,Horror Thriller Adventure English UniversalPictures Zanuck/BrownProductions RoyScheider RobertShaw RichardDreyfuss LorraineGary MurrayHamilton CarlGottlieb JeffreyKramer SusanBacklinie JonathanFilley ChrisRebello JayMello LeeFierro JeffreyVoorhees CraigKingsbury RobertNevin TedGrossman PeterBenchley DorothyFielding StevenSpielberg DeniseCheshire FritziJaneCourtney DavidEngelbach BelleMcDonald JosephOliveira BeverlyPowers AynRuymen ChristopherSands RexTrailer PhilipEttington StevenSpielberg
607,15.781024,1997-07-02,589390539.0,98.0,Men in Black,6.9,4521.0,Action Adventure Comedy ScienceFiction English Español AmblinEntertainment ColumbiaPicturesCorporation Parkes+MacDonaldImageNation TommyLeeJones WillSmith LindaFiorentino VincentD'Onofrio RipTorn TonyShalhoub MikeNussbaum JonGries SergioCalderón CarelStruycken FredricLehne RichardHamilton KentFaulcon SiobhanFallon JohnAlexander KeithCampbell SylvesterStallone DannyDeVito BarrySonnenfeld
1669,15.91126,1990-03-02,199200000.0,134.0,The Hunt for Red October,7.2,971.0,Action Adventure Thriller English Pусский ParamountPictures NinaSaxonFilmDesign MaceNeufeldProductions AlecBaldwin SeanConnery ScottGlenn SamNeill JamesEarlJones JossAckland RichardJordan StellanSkarsgård CourtneyB.Vance PeterFirth TimCurry JeffreyJones TimothyCarhart LarryFerguson FredDaltonThompson DanielDavis NedVaughn AnthonyPeck RonaldGuttman TomasArana Sven-OleThorsen RickDucommun MarkDraxton TomFisher PeteAntico AnatoliDavydov IvanG'Vera Sven-OleThorsen BorisLeeKrutonog KentonKovell GatesMcFadden AndrewDivoff PhilipEttington JohnMcTiernan
9714,8.04209,1997-12-12,79082515.0,102.0,Home Alone 3,5.1,632.0,Comedy Family Polski English TwentiethCenturyFoxFilmCorporation HughesEntertainment AlexD.Linz OlekKrupa RyaKihlstedt LennyVonDohlen ScarlettJohansson SethSmith HavilandMorris DavidThornton RajaGosnell
714,17.159576,1997-12-11,333011068.0,119.0,Tomorrow Never Dies,6.0,941.0,Adventure Action Thriller Deutsch English Dansk 普通话 广州话/廣州話 EonProductions PierceBrosnan JonathanPryce MichelleYeoh TeriHatcher RickyJay GötzOtto JoeDonBaker VincentSchiavelli JudiDench DesmondLlewelyn SamanthaBond ColinSalmon GeoffreyPalmer JulianFellowes TerenceRigby NinaYoung DaphneDeckers ColinStinton AlMatthews CecilieThomsen MarkSpalding BruceAlexander AnthonyGreen ChristopherBowen AndrewHawkins DominicShaun JulianRhind-Tutt GerardButler MichaelByrne PipTorrens HughBonneville JasonWatkins BrendanCoyle NadiaCameron-Blakey RogerSpottiswoode
948,13.672759,1978-10-25,70000000.0,91.0,Halloween,7.4,1066.0,Horror Thriller English CompassInternationalPictures FalconInternationalProductions DonaldPleasence JamieLeeCurtis P.J.Soles NancyKyes NickCastle TonyMoran WillSandin CharlesCyphers KyleRichards BrianAndrews JohnMichaelGraham SandyJohnson NancyStephens ArthurMalet MickeyYablans BrentLePage AdamHollander RobertPhalen DavidKyle PeterGriffith BarryBernardi JohnCarpenter GeorgeO'HanlonJr. DarlaRae GwenVanDam JohnCarpenter
11281,13.501144,1981-10-30,25533818.0,92.0,Halloween II,6.4,370.0,Horror Thriller English UniversalPictures JamieLeeCurtis DonaldPleasence CharlesCyphers JeffreyKramer LanceGuest PamelaSusanShoop HuntervonLeer DickWarlock LeoRossi GloriaGifford TawnyMoyer AnaAlicia FordRainey CliffEmmich NancyStephens NancyKyes AnneBruner DanaCarvey LucilleBenson BillyWarlock LanceWarlock Anne-MarieMartin KimGottlieb JackVerbois AdamGunn PamelaMcMyler DennisHolahan HowardCulver JohnZenda KenSmolka RogerHampton RobinColeman RickRosenthal
9552,12.137595,1973-12-26,441306145.0,122.0,The Exorcist,7.5,2046.0,Drama Horror Thriller Deutsch Français Latin العربية ελληνικά English WarnerBros. HoyaProductions LindaBlair MaxvonSydow EllenBurstyn JasonMiller LeeJ.Cobb KittyWinn WilliamO'Malley JackMacGowran BartonHeyman PeterMasterson RudolfSchündler RobertSymonds TitosVandis DonnaMitchell RobertGerringer MercedesMcCambridge EileenDietz WilliamFriedkin
165,13.689855,1989-11-20,332000000.0,108.0,Back to the Future Part II,7.4,3926.0,"Adventure Comedy Family ScienceFiction English UniversalPictures AmblinEntertainment U-DriveProductions MichaelJ.Fox ChristopherLloyd LeaThompson ElisabethShue JamesTolkan JeffreyWeissman CaseySiemaszko BillyZane DarleneVogel ElijahWood JasonScottLee RickyDeanLogan CharlesFleischer J.J.Cohen Flea JoeFlaherty NeilRoss AlWhite ThomasF.Wilson E.CasanovaEvans JayKoch CharlesGherardi JohnThornton TheoSchwartz LindseyWhitneyBarry JudyOvitz StephanieWilliams MartyLevy JimIshida NikkiBirdsong JuniorFann ShaunHunter GeorgeBuckFlower TamaraCarrera TracyDali JenniferBrown IrinaCashen AngelaGreenblatt CameronMoore JustinMosleySpink LisaFreeman JohnErwin HarryWaters,Jr. DavidHaroldBrown TommyThomas LloydL.Tolbert Granville'Danny'Young WesleyMann Freddie CrispinGlover ToddBlood SeanMichaelFish DonaldFullilove AnnetteMay MaryEllenTrainor RobertZemeckis"
